"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.72677,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.77087,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.87321,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-04",100.0099,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-05",100.089,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-06",100.1083,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-07",100.0757,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-08",100.0404,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-09",100.025,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.0467,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.1302,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.2979,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-01",100.4758,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-02",100.5776,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-03",100.6261,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.6278,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.5769,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.5356,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.4162,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.2934,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.217,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.2935,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.4341,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.4919,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.44,
"OECD","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.3157,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-01",99.36756,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-02",99.43819,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-03",99.4707,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-04",99.54428,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-05",99.53056,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-06",99.50394,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-07",99.49568,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-08",99.59134,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-09",99.79729,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-10",100.0868,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-11",100.4421,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2014-12",100.836,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-01",101.1014,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-02",101.1037,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-03",101.0068,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-04",100.9519,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-05",100.8712,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-06",100.8854,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-07",100.7701,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-08",100.5794,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-09",100.407,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-10",100.4352,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-11",100.5519,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2015-12",100.6542,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-01",100.6837,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2016-02",100.6787,
