MLS Number,Status,Area,Street Number,Street Dir Prefix,Street Name,Street Type,Street Dir Suffix,Unit Number,# Beds Total,# Baths Full,# Baths Half,# Living,# Stories,# Garage Spaces,Year Built,Sqft Total,LP$SqFt,List Price,S $/SF,Sold/Lease Price,Sold/Lease Date,ADOM,CDOM 
5591862,Sold,DT,1800,,Lavaca,ST,,A-306,1,1,0,1,1,1,1966,608,245.89,"$149,500",$234.38,"$142,500",12-14-2015,6,6
8565582,Sold,DT,1800,,Lavaca,ST,,A-412,1,1,0,1,1,1,1966,594,222.22,"$132,000",$240.74,"$143,000",05-15-2015,12,12
4025784,Sold,DT,1800,,Lavaca,,,212,1,1,0,1,1,1,1966,594,244.11,"$144,999",$244.11,"$145,000",09-02-2015,14,14
6765009,Sold,DT,1800,,Lavaca,ST,,A-614,1,1,0,1,1,1,1966,632,237.33,"$149,995",$237.33,"$149,995",07-10-2015,1,1
6018863,Sold,DT,1212,,Guadalupe,ST,,203,1,1,0,1,1,1,1973,422,391,"$165,000",$386.26,"$163,000",01-28-2016,7,7
5563577,Sold,DT,1700,,Nueces,ST,,106,1,1,0,1,3,1,1974,488,348.16,"$169,900",$336.07,"$164,000",06-05-2015,10,10
6903103,Sold,DT,1801,,Lavaca,ST,,9H,0,1,0,1,1,1,1964,345,478.26,"$165,000",$478.26,"$165,000",01-05-2016,4,4
9179485,Sold,DT,1801,,Lavaca,ST,,11B,1,1,0,1,1,1,1964,460,388.04,"$178,500",$385.87,"$177,500",06-12-2015,15,15
8612611,Sold,DT,1800,,Lavaca,ST,,A-507,2,2,0,1,1,1,1966,880,255.68,"$225,000",$253.98,"$223,500",01-15-2016,7,7
4782827,Sold,DT,800,,Brazos,ST,,1210,1,1,0,1,1,1,1949,623,416.53,"$259,500",$381.22,"$237,500",11-13-2015,124,124
6201812,Sold,DT,800,,Brazos,ST,,1011,1,1,0,1,1,1,1949,622,401.93,"$249,999",$398.71,"$248,000",01-11-2016,54,54
5097290,Sold,DT,603,,Davis,ST,,710,1,1,0,1,1,0,2006,502,498.01,"$250,000",$498.01,"$250,000",09-24-2015,7,7
7190992,Sold,DT,800,,Brazos,ST,,1211,1,1,0,1,1,1,1949,622,409.81,"$254,900",$401.93,"$250,000",01-25-2016,20,20
3316380,Sold,DT,710,,Colorado,ST,,F-5,1,1,0,1,1,1,1940,637,431.71,"$275,000",$408.16,"$260,000",06-10-2015,25,25
5763823,Sold,DT,710,,Colorado,ST,,E-6,0,1,0,1,1,1,1940,637,439.56,"$280,000",$416.01,"$265,000",04-30-2015,22,22
2601555,Sold,DT,1212,,Guadalupe,ST,,505,2,2,0,1,1,2,1973,954,302.94,"$289,000",$283.02,"$270,000",08-27-2015,90,90
4792662,Sold,DT,301,E,4th,ST,,304,1,1,0,1,1,0,1983,494,524.29,"$259,000",$554.66,"$274,000",06-10-2015,9,9
8585498,Sold,DT,80,,Red River,ST,,202,1,1,0,1,1,1,1982,675,422.22,"$285,000",$413.33,"$279,000",03-31-2015,19,19
2085930,Sold,DT,603,,Davis,ST,,705,1,1,0,1,1,1,2006,674,444.96,"$299,900",$419.14,"$282,500",10-02-2015,61,61
4088286,Sold,DT,904,,West,Ave,,206,1,1,0,1,1,1,2010,659,447.65,"$295,000",$434.22,"$286,150",05-19-2015,1,1
7026003,Sold,DT,603,,Davis,ST,,706,1,1,0,1,1,1,2006,616,470.62,"$289,900",$470.62,"$289,900",06-02-2015,8,8
6624721,Sold,DT,507,,Sabine,ST,,303,1,1,0,1,1,0,2007,693,430.74,"$298,500",$418.47,"$290,000",09-09-2015,84,84
2244030,Sold,DT,507,,Sabine,ST,,503,1,1,0,1,1,0,2007,693,431.31,"$298,900",$419.91,"$291,000",08-07-2015,94,94
9210584,Sold,DT,54,,Rainey,ST,,411,1,1,0,1,1,1,2005,756,396.69,"$299,900",$390.21,"$295,000",03-31-2015,172,172
4505208,Sold,DT,710,,Colorado,ST,,G-10,0,1,0,1,1,1,1940,638,482.76,"$308,000",$467.08,"$298,000",06-15-2015,12,12
3855972,Sold,DT,800,,Brazos,ST,,804,1,1,0,1,1,1,1949,723,435.68,"$315,000",$414.94,"$300,000",09-28-2015,24,24
4631515,Sold,DT,1212,,Guadalupe,ST,,708,1,2,0,1,1,1,1973,826,381.36,"$315,000",$366.53,"$302,750",12-31-2015,58,58
4170086,Sold,DT,800,,Brazos,ST,,1204,1,1,0,1,1,1,1949,723,435.55,"$314,900",$420.47,"$304,000",04-28-2015,16,16
8750943,Sold,DT,54,,Rainey,ST,,615,1,1,0,1,1,1,2005,756,416.67,"$315,000",$403.44,"$305,000",04-01-2015,2,2
3795321,Sold,DT,1212,,Guadalupe,ST,,702,3,2,0,1,M,2,1973,966,330.75,"$319,500",$318.84,"$308,000",08-08-2015,10,10
8128091,Sold,DT,505,W,7th,ST,,306,1,1,0,1,1,1,1964,709,449.93,"$319,000",$435.83,"$309,000",09-01-2015,5,5
4401716,Sold,DT,301,E,4th,ST,,354,1,1,0,2,1,1,1983,619,484.65,"$300,000",$500.81,"$310,001",07-23-2015,5,5
8184410,Sold,DT,410,E,5th,ST,,203,1,1,0,1,1,1,1999,782,421.87,"$329,900",$402.81,"$315,000",06-30-2015,58,58
3377038,Sold,DT,507,,Sabine,ST,,502,1,1,0,1,1,1,2007,753,444.89,"$335,000",$424.97,"$320,000",12-21-2015,7,7
4403285,Sold,DT,603,,Davis,ST,,1305,1,1,0,1,1,1,2008,714,455.18,"$325,000",$448.18,"$320,000",02-29-2016,7,7
8394837,Sold,DT,54,,Rainey,ST,,1115,1,1,0,1,M,1,2005,756,429.89,"$325,000",$429.89,"$325,000",04-23-2015,3,3
5051192,Sold,DT,301,E,4th,ST,,337,1,1,0,1,1,1,1983,600,549.83,"$329,900",$549.83,"$329,900",11-20-2015,3,3
2197317,Sold,DT,904,,West,Ave,,114,1,1,0,1,1,1,2012,725,455.17,"$330,000",$455.17,"$330,000",03-20-2015,0,0
