"MLS.Number","Status","Area","Street.Number","Street.Dir.Prefix","Street.Name","Street.Type","Street.Dir.Suffix","Unit.Number","X..Beds.Total","X..Baths.Full","X..Baths.Half","X..Living","X..Stories","X..Garage.Spaces","Year.Built","Sqft.Total","LP.SqFt","List.Price","S...SF","Sold.Lease.Price","Sold.Lease.Date","ADOM","CDOM","age","relisted","soldMonth","dayssale","latesale","listMonth","floor","Price.Diff","PriceSqrt","PriceListSqrt","agenumeric"
"1",5591862,"Sold","DT",1800,"","Lavaca","ST","","A306",1,1,0,1,"1",1,1966,608,"245.89","149500","$234.38","142500","12-14-2015",6,6,50,0,"12",6,1,"12","3",-7000,234.375,245.888157894737,50
"2",8565582,"Sold","DT",1800,"","Lavaca","ST","","A412",1,1,0,1,"1",1,1966,594,"222.22","132000","$240.74","143000","05-15-2015",12,12,50,0,"05",12,1,"05","4",11000,240.740740740741,222.222222222222,50
"3",4025784,"Sold","DT",1800,"","Lavaca","","","212",1,1,0,1,"1",1,1966,594,"244.11","144999","$244.11","145000","09-02-2015",14,14,50,0,"09",14,1,"08","2",1,244.107744107744,244.106060606061,50
"4",6765009,"Sold","DT",1800,"","Lavaca","ST","","A614",1,1,0,1,"1",1,1966,632,"237.33","149995","$237.33","149995","07-10-2015",1,1,50,0,"07",1,1,"07","6",0,237.333860759494,237.333860759494,50
"5",6018863,"Sold","DT",1212,"","Guadalupe","ST","","203",1,1,0,1,"1",1,1973,422,"391","165000","$386.26","163000","01-28-2016",7,7,43,0,"01",7,1,"01","2",-2000,386.255924170616,390.995260663507,43
"6",5563577,"Sold","DT",1700,"","Nueces","ST","","106",1,1,0,1,"3",1,1974,488,"348.16","169900","$336.07","164000","06-05-2015",10,10,42,0,"06",10,1,"05","1",-5900,336.065573770492,348.155737704918,42
"7",6903103,"Sold","DT",1801,"","Lavaca","ST","","9H",0,1,0,1,"1",1,1964,345,"478.26","165000","$478.26","165000","01-05-2016",4,4,52,0,"01",4,1,"01","9",0,478.260869565217,478.260869565217,52
"8",9179485,"Sold","DT",1801,"","Lavaca","ST","","11B",1,1,0,1,"1",1,1964,460,"388.04","178500","$385.87","177500","06-12-2015",15,15,52,0,"06",15,1,"05","1",-1000,385.869565217391,388.04347826087,52
"9",8612611,"Sold","DT",1800,"","Lavaca","ST","","A507",2,2,0,1,"1",1,1966,880,"255.68","225000","$253.98","223500","01-15-2016",7,7,50,0,"01",7,1,"01","5",-1500,253.977272727273,255.681818181818,50
"10",4782827,"Sold","DT",800,"","Brazos","ST","","1210",1,1,0,1,"1",1,1949,623,"416.53","259500","$381.22","237500","11-13-2015",124,124,67,0,"11",124,0,"07","1",-22000,381.219903691814,416.53290529695,67
"11",6201812,"Sold","DT",800,"","Brazos","ST","","1011",1,1,0,1,"1",1,1949,622,"401.93","249999","$398.71","248000","01-11-2016",54,54,67,0,"01",54,0,"11","1",-1999,398.713826366559,401.927652733119,67
"12",5097290,"Sold","DT",603,"","Davis","ST","","710",1,1,0,1,"1",0,2006,502,"498.01","250000","$498.01","250000","09-24-2015",7,7,10,0,"09",7,1,"09","7",0,498.00796812749,498.00796812749,10
"13",7190992,"Sold","DT",800,"","Brazos","ST","","1211",1,1,0,1,"1",1,1949,622,"409.81","254900","$401.93","250000","01-25-2016",20,20,67,0,"01",20,1,"01","1",-4900,401.929260450161,409.807073954984,67
"14",3316380,"Sold","DT",710,"","Colorado","ST","","F5",1,1,0,1,"1",1,1940,637,"431.71","275000","$408.16","260000","06-10-2015",25,25,76,0,"06",25,1,"05","5",-15000,408.163265306122,431.71114599686,76
"15",5763823,"Sold","DT",710,"","Colorado","ST","","E6",0,1,0,1,"1",1,1940,637,"439.56","280000","$416.01","265000","04-30-2015",22,22,76,0,"04",22,1,"04","6",-15000,416.012558869702,439.56043956044,76
"16",2601555,"Sold","DT",1212,"","Guadalupe","ST","","505",2,2,0,1,"1",2,1973,954,"302.94","289000","$283.02","270000","08-27-2015",90,90,43,0,"08",90,0,"05","5",-19000,283.018867924528,302.93501048218,43
